step,bot type,sender,recipient,accept?,number of sender sc,number of recipient sc
28,transparent,TURKEY,RUSSIA,0,2,9
28,transparent,AUSTRIA,TURKEY,1,1,2
28,transparent,ENGLAND,TURKEY,1,5,2
28,transparent,GERMANY,TURKEY,1,7,2
28,transparent,ITALY,TURKEY,0,10,2
28,transparent,RUSSIA,TURKEY,0,9,2
28,transparent,TURKEY,TURKEY,1,2,2
31,transparent,AUSTRIA,AUSTRIA,1,1,1
31,transparent,ENGLAND,AUSTRIA,1,7,1
31,transparent,GERMANY,AUSTRIA,1,5,1
31,transparent,ITALY,AUSTRIA,0,10,1
31,transparent,RUSSIA,AUSTRIA,0,9,1
31,transparent,TURKEY,AUSTRIA,0,2,1
31,transparent,AUSTRIA,ENGLAND,1,1,7
31,transparent,ENGLAND,ENGLAND,1,7,7
31,RL,FRANCE,ENGLAND,0,0,7
31,transparent,GERMANY,ENGLAND,1,5,7
31,transparent,ITALY,ENGLAND,1,10,7
31,transparent,RUSSIA,ENGLAND,1,9,7
31,transparent,TURKEY,ENGLAND,1,2,7
31,transparent,AUSTRIA,GERMANY,1,1,5
31,transparent,ENGLAND,GERMANY,0,7,5
31,transparent,GERMANY,GERMANY,1,5,5
31,transparent,ITALY,GERMANY,0,10,5
31,transparent,RUSSIA,GERMANY,1,9,5
31,transparent,TURKEY,GERMANY,1,2,5
31,transparent,AUSTRIA,ITALY,0,1,10
31,transparent,ENGLAND,ITALY,1,7,10
31,RL,FRANCE,ITALY,1,0,10
31,transparent,GERMANY,ITALY,1,5,10
31,transparent,ITALY,ITALY,1,10,10
31,transparent,RUSSIA,ITALY,0,9,10
31,transparent,TURKEY,ITALY,0,2,10
31,transparent,AUSTRIA,RUSSIA,0,1,9
31,transparent,ENGLAND,RUSSIA,1,7,9
31,transparent,GERMANY,RUSSIA,0,5,9
31,transparent,ITALY,RUSSIA,0,10,9
31,transparent,RUSSIA,RUSSIA,1,9,9
31,transparent,TURKEY,RUSSIA,0,2,9
31,transparent,AUSTRIA,TURKEY,1,1,2
31,transparent,ENGLAND,TURKEY,1,7,2
31,transparent,GERMANY,TURKEY,1,5,2
31,transparent,ITALY,TURKEY,0,10,2
31,transparent,RUSSIA,TURKEY,0,9,2
31,transparent,TURKEY,TURKEY,1,2,2
33,transparent,AUSTRIA,AUSTRIA,1,1,1
33,transparent,ENGLAND,AUSTRIA,1,7,1
33,transparent,GERMANY,AUSTRIA,1,5,1
33,transparent,ITALY,AUSTRIA,0,10,1
33,transparent,RUSSIA,AUSTRIA,0,9,1
33,transparent,TURKEY,AUSTRIA,0,2,1
33,transparent,AUSTRIA,ENGLAND,1,1,7
33,transparent,ENGLAND,ENGLAND,1,7,7
33,transparent,GERMANY,ENGLAND,1,5,7
33,transparent,ITALY,ENGLAND,1,10,7
33,transparent,RUSSIA,ENGLAND,1,9,7
33,transparent,TURKEY,ENGLAND,1,2,7
33,transparent,AUSTRIA,GERMANY,1,1,5
